recipe_id,step_number,step_content
69173,3,"Drop the meatballs into simmering pasta sauce, do not stir for at least 20 minutes or you will risk breaking the meatballs."
69173,4,Continue cooking in the simmering sauce for another 20 minutes (depending on how fast your sauce is simmering 40 minutes total should fully cook the meatballs).
69173,5,After the 40 minutes cooking time continue cooking your sauce with the meatballs in for as long as desired.
69173,6,**note**  you may also bake the meatballs at 350 degrees F for 25 minutes or until cooked through.
68955,1,Place all the ingredients in a saucepan over a high heat.
68955,2,"Bring to the boil, then reduce to a simmer for about 20 minutes."
68955,3,Remove any scum that rises to the surface.
68955,4,"Increase the heat, turning the drumsticks frequently in the liquid, and cook until the liquid has reduced to a sticky glaze."
68955,5,"Arrange the chicken on a serving platter, remove the garlic clove and chili from the liquid, and spoon the glaze over."
68955,6,"NOTE It's a glaze rather than a sauce, so there's not a whole lot of it."
33919,1,Brown ground meat/turkey &amp; onion; drain.
33919,2,Add taco seasoning and stir in refried beans.
33919,3,Mix soup and sour cream in a separate bowl.
33919,4,Spread 1/2 sour cream mixture in the bottom of a casserole dish.
33919,5,Tear up 3 tortillas and spread over sour cream mixture.
33919,6,Put 1/2 the meat bean mixture over that.
33919,7,Add a layer of cheese.
33919,8,You could put some hot sauce on this now.
33919,9,Repeat the layers.
33919,10,"Sprinkle cheese over the top and bake, uncovered, at 350°F for 20-30 minutes."
82102,1,Preheat oven to 350°F.
82102,2,Butter an 11 x 7-inch pan (if using more than 4 breasts use a larger pan).
82102,3,"In a bowl, combine melted butter with fresh minced garlic, 1 teaspoon garlic powder and salt."
82102,4,"In another bowl, combine the dry breadcrumbs with 1/2 cup finely grated cheddar cheese, Parmesan cheese 1 teaspoon garlic powder and coarse ground black pepper."
82102,5,Dip chicken in butter mixture; then in crumb mixture.
82102,6,"Place in prepared pan and bake uncovered for 35-45 minutes or until cooked through, larger breasts may take more time (placing the chicken on a rack in a pan will produce an extra crispy crust)."
82102,7,Top with shredded cheddar or mozzarella the last 5 minutes of cooking (this is only optional.
25885,1,Preheat oven to 350°.
25885,2,Lightly grease 9 x 5 loaf pan.
25885,3,"In large bowl, combine flour, soda and salt."
25885,4,"In separate bowl, cream together butter and brown sugar."
25885,5,Stir in eggs and mashed bananas until well blended.
25885,6,Stir banana mixture into flour mixture; stir just to moisten.
25885,7,Pour batter into prepared loaf pan.
25885,8,Bake in preheated oven for 60-65 minutes until a toothpick inserted into center of loaf comes out clean.
25885,9,"Let bread cool in pan for 10 minutes, then turn out onto a wire rack."
28148,1,"Mix chicken, picante sauce or salsa, cumin, oregano, cheese and onions."
28148,2,Place about 1/4 cup of the chicken mixture in the center of each tortilla.
28148,3,Fold opposite sides over filling.
28148,4,Roll up from bottom and place seam-side down on a baking sheet.
28148,5,Brush with melted margarine.
28148,6,Bake at 400°F for 25 minutes or until golden.
28148,7,Garnish with additional cheese and green onion and serve salsa on the side.
99476,1,"In a bowl, combine 2 tablespoons cornstarch, 2 tablespoons water and garlic powder until smooth."
99476,2,Add beef and toss.
99476,3,"In a large skillet or wok over medium-high heat, stir-fry beef in 1 tablespoon oil until beef reaches desired doneness; remove and keep warm."
99476,4,Stir-fry onion in remaining oil for 4-5 minutes until softened. Add the broccoli and cook for 3 minutes until the broccoli is tender but still crisp. Return beef to pan.
99476,5,"Combine soy sauce, brown sugar, ginger and remaining 1 tablespoon cornstarch and 1/2 cup water until smooth; add to the pan."
99476,6,Cook and stir for 2 minutes.
99476,7,Serve over rice and garnish with toasted sesame seeds (optional).
135350,1,Preheat oven to 400°F.
135350,2,Cook and drain macaroni according to package directions; set aside.
135350,3,In a large saucepan melt butter.
135350,4,"Add flour mixed with salt and pepper, using a whisk to stir until well blended."
135350,5,Pour milk and cream in gradually; stirring constantly.
135350,6,Bring to boiling point and boil 2 minutes (stirring constantly).
135350,7,Reduce heat and cook (stirring constantly) 10 minutes.
135350,8,"Add shredded cheddar little by little and simmer an additional 5 minutes, or until cheese melts."
135350,9,Turn off flame.
135350,10,Add macaroni to the saucepan and toss to coat with the cheese sauce.
135350,11,Transfer macaroni to a buttered baking dish.
135350,12,Sprinkle with breadcrumbs.
135350,13,Bake 20 minutes until the top is golden brown.
135350,14,"(You can also freeze this recipe in zip-lock bags for later use - once you have mixed the macaroni along with the cheese sauce allow to cool to room temperature before adding to your freezer - I generally pull it out the night before and allow macaroni and cheese to reach room temperature; I then add the macaroni and cheese to a buttered baking dish, sprinkle with bread crumbs and then bake for 20 to 30 minutes, until golden brown on top and bubbling."
129926,1,"In a frying pan, cook chicken and onion together in oil over medium-high heat until chicken is just done."
129926,2,Divide cooked chicken evenly between 8 tortillas; add 1 1/2 tablespoons cheese to each tortilla.
129926,3,"Roll enchiladas and place seam-side down in a 9x13"" baking dish that has been lightly sprayed with no-stick cooking spray."
129926,4,"Melt butter in a medium saucepan; stir in flour to make a roux, stir and cook until bubbly, and gradually whisk in chicken broth then bring to boiling, stirring frequently."
129926,5,Remove from heat; stir in sour cream and green chilies.
129926,6,Pour sauce evenly over enchiladas.
129926,7,Top with remaining 3/4 cup cheese (a baking dish may be double-wrapped and frozen at this point) and bake at 400° F for 20 minutes until cheese is melted and sauce near edges of baking dish is bubbly.
97496,1,Preheat oven to 350°F.
97496,2,"Mix softened butter, 1 1/2 cups sugar, 1tps of vanilla extract and eggs thoroughly in a large bowl."
97496,3,"Combine flour, cream of tartar, baking soda and salt in a separate bowl."
97496,4,Blend dry ingredients into butter mixture.
97496,5,"Chill dough, and chill an ungreased cookie sheet for about 10-15 minutes in the fridge."
97496,6,"Meanwhile, mix 3 tablespoons sugar, and 3 teaspoons cinnamon in a small bowl."
97496,7,Scoop 1 inch globs of dough into the sugar/ cinnamon mixture.
97496,8,Coat by gently rolling balls of dough in the sugar mixture.
97496,9,"Place on chilled ungreased cookie sheet, and bake 10 minutes."
97496,10,Remove from pan immediately.
150863,1,"Combine broth, potatoes, and spices."
150863,2,Boil on medium heat until potatoes are tender.
150863,3,Smash a few of the potatoes to release their starch for thickening.
150863,4,Reduce to low heat.
150863,5,Add cream cheese.
150863,6,"Heat, stirring frequently, until cheese melts."
33671,1,"In a small bowl, combine the spices."
33671,2,Remove any giblets from chicken and clean chicken.
33671,3,Rub spice mixture onto the chicken.
33671,4,Place in resealable plastic bag and refrigerate overnight. (I usually skip this step because I'm always in a hurry).
33671,5,"When ready to cook, put chopped onion in bottom of crock pot."
33671,6,"Add chicken.  No liquid is needed, the chicken will make its own juices."
33671,7,Cook on low 4-8 hours.
33671,8,Note:  I highly recommend a pop-up timer in the chicken because some crock pots cook faster/slower than others (my crock pot cooks this recipe in 4-5 hours).
10744,1,Preheat oven to 400°F.
10744,2,"Saute onion, celery, carrots and potatoes in margarine for 10 minutes."
10744,3,"Add flour to sauteed mixture, stirring well, cook one minute stirring constantly."
10744,4,Combine broth and half and half.
10744,5,Gradually stir into vegetable mixture.
10744,6,Cook over medium heat stirring constantly until thickened and bubbly.
10744,7,Stir in salt and pepper; add chicken and stir well.
10744,8,Pour into shallow 2 quart casserole dish and top with pie shells.
10744,9,Cut slits to allow steam to escape.
10744,10,Bake for 40-50 minutes or until pastry is golden brown and filling is bubbly and cooked through.
63689,1,"In a large skillet, brown ground beef, celery and onion."
63689,2,"Drain the fat, who needs it?."
63689,3,"Stir in remaining ingredients, simmer covered, 15-20 minutes, stirring occasionally."
63689,4,"If Joes appear too'loose', leave cover off and let moisture evaporate."
63689,5,"Cook until it's the consistency you like for serving on toasted buns, with french fries and cole slaw."
107786,1,"Preheat oven to 300 degrees F. Line a baking sheet with two layers of foil, shiny side out."
107786,2,Peel off tough membrane that covers the bony side of the ribs.
107786,3,"Season the ribs on both sides with salt and pepper. If using, divide the Hickory liquid smoke evenly over the ribs."
107786,4,"In a medium bowl, combine the light brown sugar, paprika, garlic powder and ground red pepper. Apply the rub to all sides of the ribs."
107786,5,"Lay ribs on the prepared baking sheet, meaty side down."
107786,6,"Lay two layers of foil on top of ribs and roll and crimp edges tightly, edges facing up to seal."
107786,7,Transfer to the oven and = bake for 2-2 1/2 hours or until meat is starting to shrink away from the ends of the bone.
107786,8,Remove from oven.
107786,9,Heat broiler.
107786,10,Cut ribs into serving sized portions of 2 or 3 ribs.
107786,11,"Arrange on broiler pan, bony side up."
107786,12,Brush on sauce.
107786,13,Broil for 1 or 2 minutes until sauce is cooked on and bubbly.
107786,14,Turn ribs over.
107786,15,Repeat on other side.
107786,16,"Alternately, you can grill the ribs on your grill to cook on the sauce."
5170,1,Mix the dry items first.
5170,2,Combine the eggs and melted butter to the milk and slowly stir into the flour mixture.
5170,3,Let sit at least 10 minutes while heating the pan.
5170,4,"These will be high, but light and fluffy -- ."
38298,1,Chop or slice uncooked sausage into small pieces and cook until browned and meat is ground in bottom of your soup pan over med-high heat.
38298,2,"Add onions, garlic, salt, pepper, and red pepper flakes to Sausage and cook until onions are clear and aromatics of the seasonings blend together."
38298,3,"Reduce heat back to medium and place, potatoes, in the pot. and slowly add the Chicken Stock and water and stir. (use Chicken Bouillon envelope for extra flavor is Chicken Stock is weak)."
38298,4,"Cook on medium heat until potatoes are done and stir occasionally. Once Potatoes are done, Add flour or cornstarch and simmer for another 15 minutes."
38298,5,Reduce heat to lowest setting and sprinkle in your kale and cooked bacon and slowly pour cream while stirring.
38298,6,Check for taste and then serve.
95222,1,Brown chops on both sides.
95222,2,Place in greased casserole dish.
95222,3,Mix all remaining ingredients and pour over pork chops.
95222,4,"Bake, uncovered, at 350 for one hour."
77397,1,Set oven to 350 degrees F.
77397,2,"Prepare a greased 13 x 9-inch baking dish, or two 8 or 9-inch round cake pans (although the batter will seem like it will fit into only one 8 or 9-inch pan, this flop rises very high and will run over the sides if baked in just one pan)."
77397,3,"In a bowl mix the 2 cups flour, 1-1/4 cups white sugar, milk, vanilla or almond extract, baking powder, pinch of salt and egg (if using) until just combined careful not to overmix."
77397,4,Pour into prepared baking pan/s.
77397,5,Generously spread brown sugar and cinnamon on top.
77397,6,If desired sprinkle chopped walnuts or pecans over top.
77397,7,Drizzle melted butter over top.
77397,8,"Bake for about 20-25 minutes for 8 or 9-inch round cake pan, and about 30 minutes for a 13 x 9-inch pan."
87782,1,Preheat oven to 420°F  A reviewer has suggested spraying the baking pan with Pam - that sounds like a great idea!
87782,2,Put all the ingredients into a baking pan large enough to hold them.
87782,3,Season generously with sea salt and black pepper.
87782,4,Make sure your hands are very clean and put them in the pan and give everything a toss to distribute.
87782,5,"The garlic will drop into the water/oil solution but its flavour will permeate the potatoes, and this way, it won't burn."
87782,6,Bake for 40 minutes.
87782,7,"When a nice golden-brown crust has formed on the potatoes, give them a stir to bring the white underside up, season lightly with a bit more sea salt and pepper and just a light sprinkling of oregano."
87782,8,"Add 1/2 cup more water if pan appears to be getting dry, and pop back into oven to brown other side of potatoes."
87782,9,This will take about another 40 minutes.
87782,10,Do not be afraid of overcooking the potatoes- they will be delicious.
87782,11,"Note:  I often melt a bouillon cube in the water; if you do, make sure to cut back some on the salt."
29679,1,"Combine graham crumbs, sugar and peanut butter and mix well."
29679,2,Blend in melted butter until well combined.
29679,3,Press mixture evenly into a 9 x 13 inch pan.
29679,4,Melt chocolate chips in microwave or in double boiler.
29679,5,Spread over peanut butter mixture.
29679,6,"Chill until just set and cut into bars (these are very hard to cut if the chocolate gets ""rock hard""."
141983,1,Melt butter in medium saucepan with olive oil over medium/low heat.
141983,2,"Add the garlic, cream, white pepper and bring mixture to a simmer."
141983,3,Stir often.
141983,4,Add the Parmesan cheese and simmer sauce for 8-10 minutes or until sauce has thickened and is smooth.
141983,5,When sauce has thickened add the Mozzarella cheese and stir until smooth.            STIR FREQUENTLY.
141983,6,"While the sauce cooks, boil noodles for 3-5 minutes."
141983,7,Place pasta on serving plates and spoon sauce over pasta.
141983,8,"Garnish with parsley, freshly cracked black pepper and more grated parmesan (optional)."
28768,1,"Brown ground meat, onion and garlic."
28768,2,"Add salt, pepper, parsley, oregano, basil, chopped tomatoes with juice; stirring until well mixed."
28768,3,"Cover and simmer 1 hour (or longer,but watch for getting too dry)."
28768,4,Cook lasagna noodles according to package directions; drain and set aside.
28768,5,"Spray a 13 x 9"" baking pan with cooking spray."
28768,6,"Combine riccota cheese, eggs, pepper, 2 tablespoons parsley, Parmesan cheese and 1/2 1lb of mozzarella cheese; In a lasagna pan, layer noodles, meat sauce, and cheese mixture; repeat."
28768,7,Top off with layer of noodles; sprinkle evenly with remaining mozzarella cheese; make sure to cover noodles completely.
28768,8,"Bake at 375F for 40-60  minutes, or until cheese mixture is thoroughly melted. (I cover w/ foil for about 40 minutes, then uncover for 15-20 minutes."
28768,9,Let sit for 15-20 minutes before cutting and serving.
73166,1,Heat oil.
73166,2,"Cook onions, garlic and meat until brown."
73166,3,"Add tomatoes, beer, coffee, tomato paste and beef broth."
73166,4,Add spices Stir in 2 cans of kidney beans and peppers.
73166,5,Reduce heat and simmer for 1 1/2 hours.
73166,6,Add 2 remaining cans of kidney beans and simmer for another 30 minutes.
37336,1,"Mix mayonnaise or yogurt, cheese and seasonings."
37336,2,Spread mixture over chicken breast and place in baking dish.
37336,3,Bake at 375°F for 45 minutes.
150384,1,Sauté onion in butter. Set aside.
150384,2,Cook melted butter and flour using a whisk over medium heat for 3-5 minutes or until you see a noticeable golden brown color in your pan.
150384,3,Slowly add in the chicken stock and whisk again to combine. Simmer contents covered (stirring occasionally) for 20 minutes on medium heat.
150384,4,"Add the broccoli, carrots and the sauteed onions, into the pot. Stir, add the milk and half &amp; half. Cook covered over low heat 20-25 minutes but do not bring to a boil. This may cause the milk to curdle."
150384,5,"Add salt, pepper &amp; nutmeg. Note: you can purée half of your soup in a blender or with a handheld immersion blender if you choose however it isn't a requirement. Continue to cook the soup on low heat and slowly add the grated cheese a handful at a time and stir to avoid clumps. Once all the cheese has been added is melted, remove from heat, and serve immediately. Suggestion: serve with crusty bread or in a breadbowl."
150384,6,Refrigerate leftovers after they have cooled and store in a airtight container up to 5 days in the refrigerator.
60350,1,Cook macaroni according to package directions.
60350,2,"In medium saucepan, melt butter over medium heat; stir in flour, and cook for 3-5 minutes stirring constantly to form a roux; add salt and pepper; slowly add milk, stirring well after each addition."
60350,3,Cook and stir until bubbly.
60350,4,Stir in cheese a small amount at a time until fully melted.
60350,5,Drain macaroni; add to cheese sauce; stir to coat.
43509,1,"In a large bowl, mix the flour, baking soda, baking powder, and salt."
43509,2,"Mix bananas, sugar, egg and melted butter."
43509,3,"Stir into dry mixture until thoroughly combined, then stop mixing."
43509,4,Fill muffin cups 3/4 full.
43509,5,"Combine brown sugar, flour, and cinnamon topping ingredients."
43509,6,Cut in cold butter until crumbly.
43509,7,Sprinkle over muffins.
43509,8,"Bake at 375 degrees Fahrenheit for about 20 minutes, until muffins test done."
43509,9,Cool in pan for 10 minutes.
2496,1,Heat oven to 350°F.
2496,2,Grease and flour two 9 inch round baking pans or one 13x9 inch pan.
2496,3,"In large mixer bowl, stir together dry ingredients."
2496,4,"Add eggs, milk, oil, and vanilla; beat on medium speed for 2 minutes."
2496,5,"Stir in boiling water by hand (batter will be thin). NOTE: I have tried it with 1/2 cup, 2/3 cup and 3/4 cup boiling water and we prefer it with less than 1 cup water. I usually use between 2/3 &amp; 3/4 cups. The cake is still very moist but it doesn't seem to ""fall"" as much as it cools. This might have to do with our high humidity or brand of flour or other factors so I don't know if it will work for everyone."
2496,6,Pour into prepared pan.
2496,7,"Bake 30 to 35 minutes for round 9-inch pans, 35 to 40 minutes for rectangular pan or until wooden pick inserted in center comes out clean. (Do not use 8-inch pans or the batter will overflow.)."
2496,8,"Because they have a tendency to overflow if you fill them more than 2/3 full, I usually get about 27-28 cupcakes per batch. Bake for approximately 18-20 minutes."
2496,9,Cool 10 minutes; remove from pan to wire racks.
2496,10,Please note: baking cocoa isn't hot chocolate drink mix! Baking cocoa contains no sugar and it is found on the baking aisle. Chocolate drink mixes that you add to milk or water to drink WILL NOT work in this recipe.
9272,1,Mix all together and bring to a slow boil for 10 minute.
9272,2,Seal in jars and cook in hot water bath for 10 minute.
9272,3,This is a medium salsa. This is also a chunky salsa so if you want a smoother salsa cut your veggies into smaller pieces.
9272,4,Yields 3-6 quarts or pints.
27520,1,Saute onions and garlic in olive oil until translucent.
27520,2,Brown ground beef and drain.
27520,3,"Add ground beef, tomatoes, water, raw macaroni, salt and pepper to the onion and garlic mixture."
27520,4,Cook for 15 to 20 minutes or until macaroni is tender.
27520,5,"If desired, top with Parmesan cheese."
27520,6,Serve with crusty bread and a salad.
31750,1,"In a large mixing bowl, whisk together all dry ingredients."
31750,2,"Separate the eggs, adding the yolks to the dry ingredient mixture, and placing the whites in a small mixing bowl."
31750,3,Beat whites until moderately stiff; set aside.
31750,4,Add milk and melted butter to dry ingredient mixture and blend.
31750,5,Fold stiff egg whites into mixture.
31750,6,Ladle mixture into hot waffle iron and bake.
89207,1,Cream the butter in a small bowl.
89207,2,"Blend in the cocoa powder (the amount desired for a light, medium or dark flavor), vanilla, confectioners sugar, alternately with the cream."
89207,3,"Beat with an electric mixer, until the desired texture is achieved."
89207,4,**NOTE** because of the additional cocoa powder more cream may have to be added in to reach desired consistency.
92095,1,Mix all ingredients in a large bowl by hand.
92095,2,Use your bare hands for best results.
92095,3,Roll meatballs to about the size of a golf ball. (wet your hands to prevent the meat from sticking to them while rolling the meat balls).
92095,4,Drop raw meatballs into large (I use a stock pot) pot of sauce.
92095,5,(I have an incredible sauce recipe {#92096} I use for my meatballs).
92095,6,Simmer for about 3 hours.
8701,1,Place all ingredients together in large roasting pan (i use bottom of turkey roaster).
8701,2,Cut ribs apart for easier serving.
8701,3,Mix together making sure to coat all ribs with this semi-dry paste.
8701,4,Spread ribs out evenly on bottom of pan.
8701,5,cover lightly with foil.
8701,6,Bake at 375 degrees for approximately 1 hour.
8701,7,Turning or stirring occasionally.
8701,8,"You can use broiler for these ribs, just watch more closely, and adjust cooking time."
8701,9,These ribs are also great finished on the grill for a few minutes on each side.
132263,1,Set out all your ingredients.
132263,2,Set a stove element with a pan to medium heat.
132263,3,"Combine the 4 dry ingredients (flour, sugar, baking powder -- two Tablespoons, not two Teaspoons as some have suggested, salt) in a bowl."
132263,4,Add the soy milk and vegetable oil to your mixture.
132263,5,Mix until smooth.
132263,6,"Now the pan should be ready for your batter, so spoon one pancakes' worth of the mixture into the pan."
132263,7,"Flip [carefully] when you see bubbles in the middle of the pancake, or if the edges are looking stiffened."
132263,8,"Repeat until the batter is gone, and try not to eat them all while you're cooking them."
53914,1,Preheat oven to 350 degrees.
53914,2,"In buttered 13-by-9-inch baking dish or jellyroll pan, lay fillets in single layer."
53914,3,Do not stack fillets.
53914,4,Brush top with juice.
53914,5,"In bowl combine cheese, butter, mayonnaise, onions and seasonings."
53914,6,Mix well with fork.
53914,7,Bake fish in preheated oven 10 to 20 minutes or until fish just starts to flake.
53914,8,"Spread with cheese mixture and bake until golden brown, about 5 minutes."
53914,9,Baking time will depend on the thickness of the fish you use.
53914,10,Watch fish closely so that it does not overcook.
53914,11,Makes 4 servings.
53914,12,Note: This fish can also be made in a broiler.
53914,13,Broil 3 to 4 minutes or until almost done.
53914,14,Add cheese and broil another 2 to 3 minutes or until browned.
53914,15,Thank you Mama's Supper Club in Wisconsin.
78814,1,Set oven to 350°F.
78814,2,Butter a casserole dish (any size to hold crescent rolls).
78814,3,"In a saucepan, mix half and half cream, 3/4 cup grated cheese (can use more cheese if desired) and undiluted chicken soup (can season with black pepper if desired)."
78814,4,Heat just until the cheese melts (do not boil).
78814,5,"For the filling --- (make certain that the cream cheese and butter are very soft) in a bowl, mix the soft cream cheese with butter until very smooth, then add in garlic powder (if using)."
78814,6,"Add in the chopped chicken, onion and cheddar cheese; mix well until combined."
78814,7,Add in 2 tablespoons whipping cream or mayonnaise; mix to combine (add in a little more if the mixture seems too dry).
78814,8,Season with seasoned salt or white and black pepper to taste.
78814,9,Unroll the crescent rolls.
78814,10,"Place 1 heaping tablespoon chicken mixture (or a little more) on top of each crescent triangle, then roll up starting at the thicker end."
78814,11,Drizzle a small amount of soup mixture on the bottom of the dish.
78814,12,Then place the crescent rolls seam-side down on top of the creamed mixture in the casserole.
78814,13,"Drizzle the remaining sauce on top (you don't have to use the full amount of cream sauce, just use as much as desired) and sprinkle with 1 cup (or more) grated cheese, or amount desired."
78814,14,Bake for about 30 minutes.
50719,1,Heat oven to 375°.
50719,2,Grease 18 regular-size muffin cups (or 12 large size muffins).
50719,3,"In bowl, mix butter until creamy.  Add sugar and beat until pale and fluffy."
50719,4,"Add eggs one at a time, beating after each."
50719,5,"Beat in vanilla, baking powder and salt."
50719,6,"With spoon, fold in half of flour then half of milk into batter; repeat."
50719,7,Fold in blueberries.
50719,8,Spoon into muffin cups and sprinkle topping onto each muffin.
50719,9,"Bake 15 to 20 minutes, until golden brown and springy to touch."
15411,1,"Mix peanut butter, sugar, and egg together until smooth."
15411,2,"Drop by teaspoon onto cookie sheet two inches apart. If desired, roll in extra sugar before placing on cookie sheet."
15411,3,Press with fork; press again in opposite direction.
15411,4,Bake 10 to 12 minutes at 350 degrees Fahrenheit.
15411,5,Do not brown; do not over bake.
73825,1,Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x13 inch pan.
73825,2,"Mix flour, baking soda, baking powder, salt and cinnamon; make a well in the center and add sugar, oil, eggs and vanilla. Mix with wooden spoon until smooth."
73825,3,"Stir in carrots, coconut, walnuts and pineapple. Pour into 9x13 inch pan and bake for about 45 minutes. Don't panic, the centre will sink a little."
73825,4,"Allow to cool; when cool, ice the cake. You can certainly use your favourite cream cheese frosting to ice this cake, but the one I've included is highly recommended (I usually leave the cake in the 13x9 pan and just ice the top)."
73825,5,To make the frosting: Cream the butter and cream cheese until smooth; add the icing sugar and beat until creamy.
90674,1,"Mix together the eggs, milk, flour, sugar, vanilla, salt&amp; cinnamon."
90674,2,"Heat a large skillet, or griddle."
90674,3,"When the skillet is hot, add 1 tablespoon butter."
90674,4,"If the butter smokes, your pan is too hot; turn down the heat."
90674,5,Dip each slice of bread into the batter for 30 seconds on each side.
90674,6,"Let some of the batter drip off, then put in skillet."
90674,7,Cook each slice 1 1/2-2 minutes per side until each side is golden brown.
90674,8,"Add more butter, if necessary, to cook all of the slices."
90674,9,"To serve, put on plate, dust with powdered sugar. Serve with butter &amp; hot syrup."
32844,1,Heat oil in a heavy skillet over medium heat.
32844,2,Add sausage and crushed red pepper.
32844,3,"Cook until sausage is no longer pink, stirring frequently, about 7 minutes."
32844,4,"Add onion and garlic to skillet and cook until onion is tender and sausage is light brown, stirring occasionally, about 7 minutes."
32844,5,"Add tomatoes, cream, and salt."
32844,6,"Simmer until mixture thickens slightly, about 4 minutes."
32844,7,(Can be prepared one day ahead. Cover and chill.).
32844,8,Cook pasta in large pot of boiling water.
32844,9,Drain.
32844,10,Bring sauce to a simmer.
32844,11,"Add pasta to sauce and cook until pasta is heated through and sauce thickens, stirring occasionally, about 2 minutes."
32844,12,Divide pasta between plates.
32844,13,Sprinkle with parsley.
32844,14,"Serve, passing Parmesan separately."
